analysis_sample,matrix_name,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
DIEGO,matrix_32_raw_0_1,KM2,EFA5,60,10,8,6,60,75,50,det_08_trust; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_32_own_significance
DIEGO,matrix_32_raw_0_1,KM3,EFA2,50,8,8,4,50,50,33.333333333333336,det_22_peer_pressure; det_28_recognition; det_29_trends; det_31_approval
DIEGO,matrix_32_raw_0_1,KM4,EFA4,30.76923076923077,13,8,4,30.76923076923077,50,23.529411764705884,det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_14_environmental_concerns
DIEGO,matrix_32_raw_0_1,KM5,EFA6,40,15,8,6,40,75,35.294117647058826,det_09_safety; det_10_cost_efficiency; det_19_wellbeing; det_20_coziness; det_26_novelty; det_27_fun
DIEGO,matrix_32_raw_0_1,KM6,EFA3,33.333333333333336,15,8,5,33.333333333333336,62.5,27.77777777777778,det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_21_rights_and_duties; det_23_support
DIEGO,matrix_32_pos_0_1,KM1,EFA6,75,8,8,6,75,75,60,det_08_trust; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_32_own_significance
DIEGO,matrix_32_pos_0_1,KM2,EFA3,46.666666666666664,15,8,7,46.666666666666664,87.5,43.75,det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_17_adherence; det_26_novelty
DIEGO,matrix_32_pos_0_1,KM3,EFA4,62.5,8,8,5,62.5,62.5,45.45454545454545,det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_19_wellbeing; det_20_coziness
DIEGO,matrix_32_pos_0_1,KM4,EFA1,26.666666666666668,15,8,4,26.666666666666668,50,21.05263157894737,det_10_cost_efficiency; det_13_technical_fit; det_17_adherence; det_18_autonomy
DIEGO,matrix_32_pos_0_1,KM5,EFA5,41.666666666666664,12,8,5,41.666666666666664,62.5,33.333333333333336,det_04_added_value; det_07_legal; det_08_trust; det_12_own_competence; det_21_rights_and_duties
DIEGO,matrix_32_pos_0_1,KM6,EFA2,0,9,8,0,0,0,0,NA
DIEGO,matrix_32_ext_0_1,KM1,EFA4,44.44444444444444,9,8,4,44.44444444444444,50,30.76923076923077,det_10_cost_efficiency; det_11_knowledge; det_30_authority; det_31_approval
DIEGO,matrix_32_ext_0_1,KM2,EFA2,36.36363636363637,11,8,4,36.36363636363637,50,26.666666666666668,det_22_peer_pressure; det_24_socialising; det_29_trends; det_32_own_significance
DIEGO,matrix_32_ext_0_1,KM3,EFA3,30.76923076923077,13,8,4,30.76923076923077,50,23.529411764705884,det_02_credit_score; det_14_environmental_concerns; det_25_agreement; det_30_authority
DIEGO,matrix_32_ext_0_1,KM4,EFA5,26.666666666666668,15,8,4,26.666666666666668,50,21.05263157894737,det_02_credit_score; det_04_added_value; det_13_technical_fit; det_23_support
DIEGO,matrix_32_ext_0_1,KM5,EFA6,50,8,8,4,50,50,33.333333333333336,det_02_credit_score; det_06_climate_protection; det_17_adherence; det_20_coziness
DIEGO,matrix_32_ext_0_1,KM6,EFA1,50,12,8,6,50,75,42.857142857142854,det_16_commitment; det_19_wellbeing; det_23_support; det_25_agreement; det_29_trends; det_32_own_significance
DIEGO,matrix_32_z_abs,KM1,EFA4,33.333333333333336,9,8,3,33.333333333333336,37.5,21.428571428571427,det_10_cost_efficiency; det_22_peer_pressure; det_29_trends
DIEGO,matrix_32_z_abs,KM2,EFA6,37.5,8,8,3,37.5,37.5,23.076923076923077,det_08_trust; det_29_trends; det_30_authority
DIEGO,matrix_32_z_abs,KM3,EFA2,55.55555555555556,9,8,5,55.55555555555556,62.5,41.666666666666664,det_07_legal; det_11_knowledge; det_12_own_competence; det_29_trends; det_31_approval
