analysis_sample,determinant,n_pos_ge_MAX,n_ext_ge_threshold,mean_raw_0_100,sd_raw_0_100,prop_pos_ge_MAX,prop_ext_ge_threshold
WHY_LATAM,det_20_coziness,476,262,65.89802631578948,21.82964135224569,0.7828947368421053,0.4309210526315789
WHY_LATAM,det_21_rights_and_duties,519,319,71.00164473684211,21.387497246675345,0.8536184210526315,0.524671052631579
WHY_LATAM,det_22_peer_pressure,261,264,42.09375,25.94035917926463,0.4292763157894737,0.4342105263157895
WHY_LATAM,det_23_support,379,227,55.345394736842124,24.55855615806439,0.6233552631578947,0.37335526315789475
WHY_LATAM,det_24_socialising,192,311,37.0131578947369,27.411558990470507,0.3157894736842105,0.5115131578947368
WHY_LATAM,det_25_agreement,364,247,55.1677631578947,26.209047074060212,0.5986842105263158,0.40625
WHY_LATAM,det_26_novelty,400,239,57.60032894736842,25.501554687697748,0.6578947368421053,0.3930921052631579
WHY_LATAM,det_27_fun,295,261,47.896381578947384,26.94256726580226,0.48519736842105265,0.4292763157894737
WHY_LATAM,det_28_recognition,205,337,37.097039473684255,29.10191359817888,0.3371710526315789,0.5542763157894737
WHY_LATAM,det_29_trends,264,273,43.2088815789474,27.18871967975881,0.4342105263157895,0.44901315789473684
WHY_LATAM,det_30_authority,250,277,42.52138157894737,27.6675284144763,0.41118421052631576,0.4555921052631579
WHY_LATAM,det_31_approval,107,376,27.008223684210517,25.108691528029045,0.17598684210526316,0.618421052631579
WHY_LATAM,det_32_own_significance,446,237,62.72368421052632,22.836990534029376,0.7335526315789473,0.38980263157894735
