bootstrap_id,country_code,n_draws_country,n_draw_country,correct_country_size
283,MX,517,517,TRUE
284,CL,78,78,TRUE
284,CO,13,13,TRUE
284,MX,517,517,TRUE
285,CL,78,78,TRUE
285,CO,13,13,TRUE
285,MX,517,517,TRUE
286,CL,78,78,TRUE
286,CO,13,13,TRUE
286,MX,517,517,TRUE
287,CL,78,78,TRUE
287,CO,13,13,TRUE
287,MX,517,517,TRUE
288,CL,78,78,TRUE
288,CO,13,13,TRUE
288,MX,517,517,TRUE
289,CL,78,78,TRUE
289,CO,13,13,TRUE
289,MX,517,517,TRUE
290,CL,78,78,TRUE
290,CO,13,13,TRUE
290,MX,517,517,TRUE
291,CL,78,78,TRUE
291,CO,13,13,TRUE
291,MX,517,517,TRUE
292,CL,78,78,TRUE
292,CO,13,13,TRUE
292,MX,517,517,TRUE
293,CL,78,78,TRUE
293,CO,13,13,TRUE
293,MX,517,517,TRUE
294,CL,78,78,TRUE
294,CO,13,13,TRUE
294,MX,517,517,TRUE
295,CL,78,78,TRUE
295,CO,13,13,TRUE
295,MX,517,517,TRUE
296,CL,78,78,TRUE
296,CO,13,13,TRUE
296,MX,517,517,TRUE
297,CL,78,78,TRUE
297,CO,13,13,TRUE
297,MX,517,517,TRUE
298,CL,78,78,TRUE
298,CO,13,13,TRUE
298,MX,517,517,TRUE
299,CL,78,78,TRUE
299,CO,13,13,TRUE
299,MX,517,517,TRUE
300,CL,78,78,TRUE
300,CO,13,13,TRUE
300,MX,517,517,TRUE
301,CL,78,78,TRUE
301,CO,13,13,TRUE
301,MX,517,517,TRUE
302,CL,78,78,TRUE
302,CO,13,13,TRUE
302,MX,517,517,TRUE
303,CL,78,78,TRUE
303,CO,13,13,TRUE
303,MX,517,517,TRUE
304,CL,78,78,TRUE
304,CO,13,13,TRUE
304,MX,517,517,TRUE
305,CL,78,78,TRUE
305,CO,13,13,TRUE
305,MX,517,517,TRUE
306,CL,78,78,TRUE
306,CO,13,13,TRUE
306,MX,517,517,TRUE
307,CL,78,78,TRUE
307,CO,13,13,TRUE
307,MX,517,517,TRUE
308,CL,78,78,TRUE
308,CO,13,13,TRUE
308,MX,517,517,TRUE
309,CL,78,78,TRUE
309,CO,13,13,TRUE
309,MX,517,517,TRUE
310,CL,78,78,TRUE
310,CO,13,13,TRUE
310,MX,517,517,TRUE
311,CL,78,78,TRUE
311,CO,13,13,TRUE
311,MX,517,517,TRUE
312,CL,78,78,TRUE
312,CO,13,13,TRUE
312,MX,517,517,TRUE
313,CL,78,78,TRUE
313,CO,13,13,TRUE
313,MX,517,517,TRUE
314,CL,78,78,TRUE
314,CO,13,13,TRUE
314,MX,517,517,TRUE
315,CL,78,78,TRUE
315,CO,13,13,TRUE
315,MX,517,517,TRUE
316,CL,78,78,TRUE
316,CO,13,13,TRUE
316,MX,517,517,TRUE
317,CL,78,78,TRUE
317,CO,13,13,TRUE
317,MX,517,517,TRUE
318,CL,78,78,TRUE
318,CO,13,13,TRUE
318,MX,517,517,TRUE
319,CL,78,78,TRUE
319,CO,13,13,TRUE
319,MX,517,517,TRUE
320,CL,78,78,TRUE
320,CO,13,13,TRUE
320,MX,517,517,TRUE
321,CL,78,78,TRUE
321,CO,13,13,TRUE
321,MX,517,517,TRUE
322,CL,78,78,TRUE
322,CO,13,13,TRUE
322,MX,517,517,TRUE
323,CL,78,78,TRUE
323,CO,13,13,TRUE
323,MX,517,517,TRUE
324,CL,78,78,TRUE
324,CO,13,13,TRUE
324,MX,517,517,TRUE
325,CL,78,78,TRUE
325,CO,13,13,TRUE
325,MX,517,517,TRUE
326,CL,78,78,TRUE
326,CO,13,13,TRUE
326,MX,517,517,TRUE
327,CL,78,78,TRUE
327,CO,13,13,TRUE
327,MX,517,517,TRUE
328,CL,78,78,TRUE
328,CO,13,13,TRUE
328,MX,517,517,TRUE
329,CL,78,78,TRUE
