bootstrap_id,analysis_sample,n_draws
52,EUROPE,1000
52,LATAM,608
52,DIEGO,251
52,RENOVISOR,610
52,WHY_EUROPE,139
52,WHY_LATAM,608
53,COMPLETE,1608
53,EUROPE,1000
53,LATAM,608
53,DIEGO,251
53,RENOVISOR,605
53,WHY_EUROPE,144
53,WHY_LATAM,608
54,COMPLETE,1608
54,EUROPE,1000
54,LATAM,608
54,DIEGO,260
54,RENOVISOR,603
54,WHY_EUROPE,137
54,WHY_LATAM,608
55,COMPLETE,1608
55,EUROPE,1000
55,LATAM,608
55,DIEGO,252
55,RENOVISOR,612
55,WHY_EUROPE,136
55,WHY_LATAM,608
56,COMPLETE,1608
56,EUROPE,1000
56,LATAM,608
56,DIEGO,249
56,RENOVISOR,608
56,WHY_EUROPE,143
56,WHY_LATAM,608
57,COMPLETE,1608
57,EUROPE,1000
57,LATAM,608
57,DIEGO,240
57,RENOVISOR,611
57,WHY_EUROPE,149
57,WHY_LATAM,608
58,COMPLETE,1608
58,EUROPE,1000
58,LATAM,608
58,DIEGO,247
58,RENOVISOR,614
58,WHY_EUROPE,139
58,WHY_LATAM,608
59,COMPLETE,1608
59,EUROPE,1000
59,LATAM,608
59,DIEGO,235
59,RENOVISOR,620
59,WHY_EUROPE,145
59,WHY_LATAM,608
60,COMPLETE,1608
60,EUROPE,1000
60,LATAM,608
60,DIEGO,248
60,RENOVISOR,614
60,WHY_EUROPE,138
60,WHY_LATAM,608
61,COMPLETE,1608
61,EUROPE,1000
61,LATAM,608
61,DIEGO,253
61,RENOVISOR,608
61,WHY_EUROPE,139
61,WHY_LATAM,608
62,COMPLETE,1608
62,EUROPE,1000
62,LATAM,608
62,DIEGO,259
62,RENOVISOR,615
62,WHY_EUROPE,126
62,WHY_LATAM,608
63,COMPLETE,1608
63,EUROPE,1000
63,LATAM,608
63,DIEGO,257
63,RENOVISOR,606
63,WHY_EUROPE,137
63,WHY_LATAM,608
64,COMPLETE,1608
64,EUROPE,1000
64,LATAM,608
64,DIEGO,251
64,RENOVISOR,612
64,WHY_EUROPE,137
64,WHY_LATAM,608
65,COMPLETE,1608
65,EUROPE,1000
65,LATAM,608
65,DIEGO,250
65,RENOVISOR,603
65,WHY_EUROPE,147
65,WHY_LATAM,608
66,COMPLETE,1608
66,EUROPE,1000
66,LATAM,608
66,DIEGO,249
66,RENOVISOR,625
66,WHY_EUROPE,126
66,WHY_LATAM,608
67,COMPLETE,1608
67,EUROPE,1000
67,LATAM,608
67,DIEGO,252
67,RENOVISOR,606
67,WHY_EUROPE,142
67,WHY_LATAM,608
68,COMPLETE,1608
68,EUROPE,1000
68,LATAM,608
68,DIEGO,269
68,RENOVISOR,589
68,WHY_EUROPE,142
68,WHY_LATAM,608
69,COMPLETE,1608
69,EUROPE,1000
69,LATAM,608
69,DIEGO,254
69,RENOVISOR,605
69,WHY_EUROPE,141
69,WHY_LATAM,608
70,COMPLETE,1608
70,EUROPE,1000
70,LATAM,608
70,DIEGO,266
70,RENOVISOR,588
70,WHY_EUROPE,146
70,WHY_LATAM,608
71,COMPLETE,1608
71,EUROPE,1000
71,LATAM,608
71,DIEGO,248
71,RENOVISOR,618
71,WHY_EUROPE,134
71,WHY_LATAM,608
72,COMPLETE,1608
72,EUROPE,1000
72,LATAM,608
72,DIEGO,230
72,RENOVISOR,624
72,WHY_EUROPE,146
72,WHY_LATAM,608
73,COMPLETE,1608
73,EUROPE,1000
73,LATAM,608
73,DIEGO,277
73,RENOVISOR,596
73,WHY_EUROPE,127
73,WHY_LATAM,608
74,COMPLETE,1608
74,EUROPE,1000
74,LATAM,608
74,DIEGO,248
74,RENOVISOR,609
74,WHY_EUROPE,143
74,WHY_LATAM,608
75,COMPLETE,1608
75,EUROPE,1000
75,LATAM,608
75,DIEGO,250
75,RENOVISOR,624
75,WHY_EUROPE,126
75,WHY_LATAM,608
76,COMPLETE,1608
76,EUROPE,1000
76,LATAM,608
