analysis_sample,variable,category,mean_n,sd_n,mean_total_n,sd_total_n,mean_prop,sd_prop,n_bootstraps
RENOVISOR,political_left_right_model,34,1.985,1.3566928965744673,611.641,9.484939803872402,0.0032454397032688417,0.002216093885737321,1000
RENOVISOR,political_left_right_model,31,1.928,1.4066964117373848,611.641,9.484939803872402,0.003152034242585016,0.002296080875320715,1000
RENOVISOR,political_left_right_model,27,1.855,1.3489977000702427,611.641,9.484939803872402,0.00303318964928223,0.0022084225819589917,1000
RENOVISOR,political_left_right_model,68,1.754,1.2927316640181623,611.641,9.484939803872402,0.0028664381985569506,0.0021104584702649203,1000
RENOVISOR,political_left_right_model,4,1.657,1.3338403690585092,611.641,9.484939803872402,0.002709264799648742,0.002179390276379623,1000
RENOVISOR,political_left_right_model,74,1.557,1.2386627003689517,611.641,9.484939803872402,0.0025440576177327466,0.002021314532931267,1000
RENOVISOR,political_left_right_model,67,1.554,1.2233481027821091,611.641,9.484939803872402,0.0025396925489516923,0.001998713061243068,1000
RENOVISOR,political_left_right_model,6,1.35,1.1378905021111572,611.641,9.484939803872402,0.0022065775880463537,0.001860076718362447,1000
RENOVISOR,political_left_right_model,3,1.313,1.095550652060971,611.641,9.484939803872402,0.0021462244373984364,0.001787583673848863,1000
RENOVISOR,political_left_right_model,63,1.198,1.0401335865540942,611.641,9.484939803872402,0.0019586452402588074,0.0016998497423971032,1000
RENOVISOR,political_left_right_model,76,1.01,1.02320425475412,611.641,9.484939803872402,0.0016498132750332546,0.001667640790015806,1000
RENOVISOR,political_left_right_model,69,0.948,0.9561434046262117,611.641,9.484939803872402,0.0015485387604246628,0.0015614475621647998,1000
RENOVISOR,political_left_right_model,66,0.906,0.9685567108342644,611.641,9.484939803872402,0.001480844937072793,0.0015809183247587455,1000
RENOVISOR,political_left_right_model,92,0.839,0.8977109138719946,611.641,9.484939803872402,0.0013734521604008023,0.0014711438577480179,1000
RENOVISOR,political_left_right_model,72,0.774,0.8588723197668316,611.641,9.484939803872402,0.0012649244020669465,0.0014026255645435178,1000
RENOVISOR,political_left_right_model,78,0.699,0.827698063356492,611.641,9.484939803872402,0.0011419021679534018,0.0013522998031205873,1000
RENOVISOR,political_left_right_model,64,0.686,0.8355250457658949,611.641,9.484939803872402,0.0011211062543726481,0.0013648518060944714,1000
RENOVISOR,political_left_right_model,62,0.68,0.8162513499322757,611.641,9.484939803872402,0.0011106742667531637,0.0013310685899798858,1000
RENOVISOR,political_left_right_model,79,0.623,0.8046853537368001,611.641,9.484939803872402,0.0010188219363941684,0.001317558451890628,1000
RENOVISOR,political_left_right_model,99,0.417,0.6461644748270566,611.641,9.484939803872402,6.813799606023872e-4,0.0010556628303557188,1000
RENOVISOR,political_left_right_model,59,0.376,0.5924314095108181,611.641,9.484939803872402,6.150157080551397e-4,9.694974166305898e-4,1000
WHY_EUROPE,political_left_right_model,Missing,138.423,10.385756348717935,138.423,10.385756348717935,1,0,1000
WHY_LATAM,political_left_right_model,Missing,608,0,608,0,1,0,1000
COMPLETE,political_lr_group,Missing,1015.176,9.24448400314937,1608,0,0.6313283582089553,0.005749057215888908,1000
COMPLETE,political_lr_group,20_39_left,159.524,6.969648484679832,1608,0,0.09920646766169154,0.004334358510373039,1000
COMPLETE,political_lr_group,40_59_centre,156.966,5.54198137470323,1608,0,0.09761567164179104,0.003446505830039323,1000
COMPLETE,political_lr_group,00_19_extreme_left,114.53,7.2100683134825525,1608,0,0.07122512437810945,0.004483873329280198,1000
COMPLETE,political_lr_group,80_100_extreme_right,86.146,2.8679101988920213,1608,0,0.05357338308457711,0.0017835262430920588,1000
COMPLETE,political_lr_group,60_79_right,75.658,4.785596925978818,1608,0,0.04705099502487562,0.0029761174912803583,1000
EUROPE,political_lr_group,Missing,407.176,9.244484003149363,1000,0,0.407176,0.009244484003149327,1000
