analysis_sample,matrix,matrix_name,d_hamming,prototype,KMEANS,EFA,delta_KMEANS_minus_EFA
WHY_EUROPE,EXT,matrix_32_ext_0_1,1,3,1.5435416666667046,1.147559523809444,0.3959821428572605
WHY_EUROPE,EXT,matrix_32_ext_0_1,1,4,1.7565476190476623,1.3572321428570482,0.39931547619061414
WHY_EUROPE,EXT,matrix_32_ext_0_1,1,5,2.0603869047619554,1.5568154761903676,0.5035714285715878
WHY_EUROPE,EXT,matrix_32_ext_0_1,1,6,2.2794047619048183,1.6908630952379773,0.588541666666841
WHY_EUROPE,EXT,matrix_32_ext_0_1,1,7,2.5114285714286333,1.8012797619046363,0.710148809523997
WHY_EUROPE,EXT,matrix_32_ext_0_1,1,8,2.8707440476191186,2.072023809523665,0.7987202380954534
WHY_EUROPE,EXT,matrix_32_ext_0_1,2,1,1.5226488095238484,2.0308035714284305,-0.5081547619045821
WHY_EUROPE,EXT,matrix_32_ext_0_1,2,2,3.4133928571429446,3.183303571428351,0.23008928571459375
WHY_EUROPE,EXT,matrix_32_ext_0_1,2,3,5.156517857142989,3.8285714285711623,1.3279464285718263
WHY_EUROPE,EXT,matrix_32_ext_0_1,2,4,6.1266071428573,4.8918452380948985,1.2347619047624017
WHY_EUROPE,EXT,matrix_32_ext_0_1,2,5,7.03955357142875,5.262708333332967,1.7768452380957829
WHY_EUROPE,EXT,matrix_32_ext_0_1,2,6,7.859880952381151,5.537738095237711,2.32214285714344
WHY_EUROPE,EXT,matrix_32_ext_0_1,2,7,8.695535714285933,5.802886904761501,2.892648809524432
WHY_EUROPE,EXT,matrix_32_ext_0_1,2,8,9.277857142857377,6.212946428570997,3.0649107142863796
WHY_EUROPE,EXT,matrix_32_ext_0_1,3,1,3.0988095238096007,3.853095238094955,-0.7542857142853543
WHY_EUROPE,EXT,matrix_32_ext_0_1,3,2,7.662470238095402,5.194999999999625,2.4674702380957774
WHY_EUROPE,EXT,matrix_32_ext_0_1,3,3,12.728839285714535,6.719732142856664,6.0091071428578715
WHY_EUROPE,EXT,matrix_32_ext_0_1,3,4,14.598690476190772,7.829464285713731,6.769226190477041
WHY_EUROPE,EXT,matrix_32_ext_0_1,3,5,16.22250000000034,8.569761904761299,7.652738095239043
WHY_EUROPE,EXT,matrix_32_ext_0_1,3,6,17.612470238095618,9.782886904761217,7.829583333334401
