"scenario","type","K","D","assigned_pct","unassigned_pct"
"10-32","pos",5,14,99.9667553191489,0.0332446808510638
"10-32","pos",5,15,99.9722960992908,0.0277039007092199
"10-32","pos",5,16,100,0
"10-32","pos",5,17,100,0
"10-32","pos",5,18,100,0
"10-32","pos",5,19,100,0
"10-32","pos",5,20,100,0
"10-32","pos",6,0,0.0332446808510638,99.9667553191489
"10-32","pos",6,1,0.205008865248227,99.7949911347518
"10-32","pos",6,2,3.78435283687943,96.2156471631206
"10-32","pos",6,3,5.52969858156028,94.4703014184397
"10-32","pos",6,4,32.5077570921986,67.4922429078014
"10-32","pos",6,5,32.9842641843972,67.0157358156028
"10-32","pos",6,6,72.3958333333333,27.6041666666667
"10-32","pos",6,7,71.4539007092199,28.5460992907801
"10-32","pos",6,8,86.6910460992908,13.3089539007092
"10-32","pos",6,9,86.9126773049645,13.0873226950355
"10-32","pos",6,10,95.5729166666667,4.42708333333333
"10-32","pos",6,11,96.2156471631206,3.78435283687943
"10-32","pos",6,12,99.4182180851064,0.581781914893617
"10-32","pos",6,13,99.6232269503546,0.37677304964539
"10-32","pos",6,14,99.9889184397163,0.0110815602836879
"10-32","pos",6,15,99.9944592198582,0.00554078014184397
"10-32","pos",6,16,100,0
"10-32","pos",6,17,100,0
"10-32","pos",6,18,100,0
"10-32","pos",6,19,100,0
"10-32","pos",6,20,100,0
"10-32","pos",7,0,0.0387854609929078,99.9612145390071
"10-32","pos",7,1,0.227171985815603,99.7728280141844
"10-32","pos",7,2,4.53789893617021,95.4621010638298
"10-32","pos",7,3,6.34973404255319,93.6502659574468
"10-32","pos",7,4,33.1560283687943,66.8439716312057
"10-32","pos",7,5,34.3694592198582,65.6305407801418
"10-32","pos",7,6,72.4623226950355,27.5376773049645
"10-32","pos",7,7,71.5370124113475,28.4629875886525
"10-32","pos",7,8,86.8683510638298,13.1316489361702
"10-32","pos",7,9,87.9598847517731,12.040115248227
"10-32","pos",7,10,96.3597074468085,3.64029255319149
"10-32","pos",7,11,97.4179964539007,2.58200354609929
"10-32","pos",7,12,99.5622783687943,0.437721631205674
"10-32","pos",7,13,99.7949911347518,0.205008865248227
"10-32","pos",7,14,100,0
"10-32","pos",7,15,100,0
"10-32","pos",7,16,100,0
"10-32","pos",7,17,100,0
"10-32","pos",7,18,100,0
"10-32","pos",7,19,100,0
"10-32","pos",7,20,100,0
"10-32","pos",8,0,0.0443262411347518,99.9556737588652
"10-32","pos",8,1,0.260416666666667,99.7395833333333
"10-32","pos",8,2,4.90359042553191,95.0964095744681
"10-32","pos",8,3,6.83732269503546,93.1626773049645
"10-32","pos",8,4,39.2619680851064,60.7380319148936
"10-32","pos",8,5,40.4753989361702,59.5246010638298
"10-32","pos",8,6,72.5454343971631,27.4545656028369
"10-32","pos",8,7,71.9414893617021,28.0585106382979
"10-32","pos",8,8,87.2063386524823,12.7936613475177
"10-32","pos",8,9,88.2535460992908,11.7464539007092
"10-32","pos",8,10,96.5536347517731,3.44636524822695
"10-32","pos",8,11,97.4900265957447,2.50997340425532
"10-32","pos",8,12,99.7118794326241,0.288120567375886
"10-32","pos",8,13,99.9058067375886,0.0941932624113475
"10-32","pos",8,14,100,0
"10-32","pos",8,15,100,0
"10-32","pos",8,16,100,0
"10-32","pos",8,17,100,0
"10-32","pos",8,18,100,0
"10-32","pos",8,19,100,0
"10-32","pos",8,20,100,0
"10-32","ext",1,0,0.0031102264244837,99.9968897735755
"10-32","ext",1,1,0.0684249813386414,99.9315750186614
"10-32","ext",1,2,0.236377208260761,99.7636227917392
