bootstrap_id,comparison_region,n_draws,prop_complete
208,EUROPE,1000,0.6218905472636815
208,LATAM,608,0.3781094527363184
209,EUROPE,1000,0.6218905472636815
209,LATAM,608,0.3781094527363184
210,EUROPE,1000,0.6218905472636815
210,LATAM,608,0.3781094527363184
211,EUROPE,1000,0.6218905472636815
211,LATAM,608,0.3781094527363184
212,EUROPE,1000,0.6218905472636815
212,LATAM,608,0.3781094527363184
213,EUROPE,1000,0.6218905472636815
213,LATAM,608,0.3781094527363184
214,EUROPE,1000,0.6218905472636815
214,LATAM,608,0.3781094527363184
215,EUROPE,1000,0.6218905472636815
215,LATAM,608,0.3781094527363184
216,EUROPE,1000,0.6218905472636815
216,LATAM,608,0.3781094527363184
217,EUROPE,1000,0.6218905472636815
217,LATAM,608,0.3781094527363184
218,EUROPE,1000,0.6218905472636815
218,LATAM,608,0.3781094527363184
219,EUROPE,1000,0.6218905472636815
219,LATAM,608,0.3781094527363184
220,EUROPE,1000,0.6218905472636815
220,LATAM,608,0.3781094527363184
221,EUROPE,1000,0.6218905472636815
221,LATAM,608,0.3781094527363184
222,EUROPE,1000,0.6218905472636815
222,LATAM,608,0.3781094527363184
223,EUROPE,1000,0.6218905472636815
223,LATAM,608,0.3781094527363184
224,EUROPE,1000,0.6218905472636815
224,LATAM,608,0.3781094527363184
225,EUROPE,1000,0.6218905472636815
225,LATAM,608,0.3781094527363184
226,EUROPE,1000,0.6218905472636815
226,LATAM,608,0.3781094527363184
227,EUROPE,1000,0.6218905472636815
227,LATAM,608,0.3781094527363184
228,EUROPE,1000,0.6218905472636815
228,LATAM,608,0.3781094527363184
229,EUROPE,1000,0.6218905472636815
229,LATAM,608,0.3781094527363184
230,EUROPE,1000,0.6218905472636815
230,LATAM,608,0.3781094527363184
231,EUROPE,1000,0.6218905472636815
231,LATAM,608,0.3781094527363184
232,EUROPE,1000,0.6218905472636815
232,LATAM,608,0.3781094527363184
233,EUROPE,1000,0.6218905472636815
233,LATAM,608,0.3781094527363184
234,EUROPE,1000,0.6218905472636815
234,LATAM,608,0.3781094527363184
235,EUROPE,1000,0.6218905472636815
235,LATAM,608,0.3781094527363184
236,EUROPE,1000,0.6218905472636815
236,LATAM,608,0.3781094527363184
237,EUROPE,1000,0.6218905472636815
237,LATAM,608,0.3781094527363184
238,EUROPE,1000,0.6218905472636815
238,LATAM,608,0.3781094527363184
239,EUROPE,1000,0.6218905472636815
239,LATAM,608,0.3781094527363184
240,EUROPE,1000,0.6218905472636815
240,LATAM,608,0.3781094527363184
241,EUROPE,1000,0.6218905472636815
241,LATAM,608,0.3781094527363184
242,EUROPE,1000,0.6218905472636815
242,LATAM,608,0.3781094527363184
243,EUROPE,1000,0.6218905472636815
243,LATAM,608,0.3781094527363184
244,EUROPE,1000,0.6218905472636815
244,LATAM,608,0.3781094527363184
245,EUROPE,1000,0.6218905472636815
245,LATAM,608,0.3781094527363184
246,EUROPE,1000,0.6218905472636815
246,LATAM,608,0.3781094527363184
247,EUROPE,1000,0.6218905472636815
247,LATAM,608,0.3781094527363184
248,EUROPE,1000,0.6218905472636815
248,LATAM,608,0.3781094527363184
249,EUROPE,1000,0.6218905472636815
249,LATAM,608,0.3781094527363184
250,EUROPE,1000,0.6218905472636815
250,LATAM,608,0.3781094527363184
251,EUROPE,1000,0.6218905472636815
251,LATAM,608,0.3781094527363184
252,EUROPE,1000,0.6218905472636815
252,LATAM,608,0.3781094527363184
253,EUROPE,1000,0.6218905472636815
253,LATAM,608,0.3781094527363184
254,EUROPE,1000,0.6218905472636815
254,LATAM,608,0.3781094527363184
255,EUROPE,1000,0.6218905472636815
255,LATAM,608,0.3781094527363184
256,EUROPE,1000,0.6218905472636815
256,LATAM,608,0.3781094527363184
257,EUROPE,1000,0.6218905472636815
257,LATAM,608,0.3781094527363184
258,EUROPE,1000,0.6218905472636815
258,LATAM,608,0.3781094527363184
259,EUROPE,1000,0.6218905472636815
259,LATAM,608,0.3781094527363184
260,EUROPE,1000,0.6218905472636815
260,LATAM,608,0.3781094527363184
261,EUROPE,1000,0.6218905472636815
261,LATAM,608,0.3781094527363184
262,EUROPE,1000,0.6218905472636815
262,LATAM,608,0.3781094527363184
263,EUROPE,1000,0.6218905472636815
263,LATAM,608,0.3781094527363184
264,EUROPE,1000,0.6218905472636815
264,LATAM,608,0.3781094527363184
265,EUROPE,1000,0.6218905472636815
265,LATAM,608,0.3781094527363184
266,EUROPE,1000,0.6218905472636815
266,LATAM,608,0.3781094527363184
267,EUROPE,1000,0.6218905472636815
267,LATAM,608,0.3781094527363184
268,EUROPE,1000,0.6218905472636815
268,LATAM,608,0.3781094527363184
269,EUROPE,1000,0.6218905472636815
