characteristic,Total,Cuidadoso/a,Activista,Temeroso/a,Homo economicus,Sensible,Influyente,Desinteresado/a,Pionero
  Derecha,29 (7.6%),6 (8.3%),4 (5.9%),10 (15.4%),5 (8.6%),1 (1.9%),1 (2.9%),1 (11.1%),0 (0.0%)
  Extrema derecha,6 (1.6%),3 (4.2%),0 (0.0%),1 (1.5%),1 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
  Extrema izquierda,145 (37.9%),21 (29.2%),27 (39.7%),18 (27.7%),14 (24.1%),32 (59.3%),17 (48.6%),5 (55.6%),1 (100.0%)
  Izquierda,130 (33.9%),21 (29.2%),25 (36.8%),25 (38.5%),17 (29.3%),19 (35.2%),15 (42.9%),2 (22.2%),0 (0.0%)
  Centro,73 (19.1%),21 (29.2%),12 (17.6%),11 (16.9%),21 (36.2%),2 (3.7%),2 (5.7%),1 (11.1%),0 (0.0%)
  Derecha,29 (7.6%),6 (8.3%),4 (5.9%),10 (15.4%),5 (8.6%),1 (1.9%),1 (2.9%),1 (11.1%),0 (0.0%)
  Extrema derecha,6 (1.6%),3 (4.2%),0 (0.0%),1 (1.5%),1 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
  Extrema izquierda,145 (37.9%),21 (29.2%),27 (39.7%),18 (27.7%),14 (24.1%),32 (59.3%),17 (48.6%),5 (55.6%),1 (100.0%)
  Izquierda,130 (33.9%),21 (29.2%),25 (36.8%),25 (38.5%),17 (29.3%),19 (35.2%),15 (42.9%),2 (22.2%),0 (0.0%)
  Centro,73 (19.1%),21 (29.2%),12 (17.6%),11 (16.9%),21 (36.2%),2 (3.7%),2 (5.7%),1 (11.1%),0 (0.0%)
  Derecha,29 (7.6%),6 (8.3%),4 (5.9%),10 (15.4%),5 (8.6%),1 (1.9%),1 (2.9%),1 (11.1%),0 (0.0%)
  Extrema derecha,6 (1.6%),3 (4.2%),0 (0.0%),1 (1.5%),1 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
  Extrema izquierda,145 (37.9%),21 (29.2%),27 (39.7%),18 (27.7%),14 (24.1%),32 (59.3%),17 (48.6%),5 (55.6%),1 (100.0%)
  Izquierda,130 (33.9%),21 (29.2%),25 (36.8%),25 (38.5%),17 (29.3%),19 (35.2%),15 (42.9%),2 (22.2%),0 (0.0%)
