analysis_sample,matrix_name,bootstrap_id,n_factors,status,n_bootstrap_draws,n_rows_used,n_rows_dropped,n_unique_participants,n_variable_features,n_constant_features,RMSR,TLI,RMSEA,BIC,mean_abs_factor_correlation,var_abs_factor_correlation,mean_factor_distance,var_factor_distance,warning_flag,warning_message,error_message
COMPLETE,matrix_32_raw_0_1,6,4,ok,1608,1608,0,1036,32,0,0.02548818957501915,0.8132073622958651,0.05270123921055046,-716.5959023122298,0.076216979430860185,0.002887061278649256,0.9237830205691399,0.002887061278649258,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,6,5,ok,1608,1608,0,1036,32,0,0.020488317848528483,0.8593434792601008,0.04572105434241066,-1045.1750564711288,0.13635200538633896,0.016287300478089645,0.863647994613661,0.016287300478089642,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,6,6,ok,1608,1608,0,1036,32,0,0.01801500732767477,0.8872468480162853,0.04092568234150967,-1176.7484199479898,0.18301037273541146,0.017304067785141257,0.8169896272645886,0.01730406778514126,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,6,7,ok,1608,1608,0,1036,32,0,0.016160188748036732,0.9044334168176632,0.03766871235104492,-1201.441135985836,0.18884482044059117,0.014554105780880034,0.8111551795594089,0.014554105780880035,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,6,8,ok,1608,1608,0,1036,32,0,0.014410287385341393,0.9137509002530858,0.03577698785184388,-1158.8040351979107,0.1804666438173416,0.013385193672411979,0.8195333561826584,0.013385193672411977,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,7,2,ok,1608,1608,0,1033,32,0,0.04644223918353195,0.6342686792751407,0.07329983680543731,977.4734587698345,0.012517021193521442,NA,0.9874829788064785,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,7,3,ok,1608,1608,0,1033,32,0,0.03239281888058375,0.7496558337610625,0.060630168582471326,-189.848579146043,0.09832182627127815,0.006598722445952109,0.9016781737287218,0.006598722445952112,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,7,4,ok,1608,1608,0,1033,32,0,0.02590375336418278,0.8075299335316017,0.053149604165131696,-688.053953109169,0.1268401859358801,0.009441728359433726,0.8731598140641199,0.009441728359433726,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,7,5,ok,1608,1608,0,1033,32,0,0.021450618403234426,0.8482646994602998,0.04718011466350081,-969.760258985885,0.15695870987562463,0.013444800773542868,0.8430412901243753,0.013444800773542865,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,7,6,ok,1608,1608,0,1033,32,0,0.01850074939029097,0.8767081132982608,0.04251864339032713,-1108.565013672811,0.1629448706832207,0.013039587007462886,0.8370551293167793,0.013039587007462885,FALSE,NA,NA
