bootstrap_id,target_sample_type,dataset_source,n,prop_within_type
136,abstention,why,135,0.26679841897233203
136,voter,rv,494,1
137,abstention,diego,226,0.44664031620553357
137,abstention,rv,133,0.2628458498023715
137,abstention,why,147,0.29051383399209485
137,voter,rv,494,1
138,abstention,diego,226,0.44664031620553357
138,abstention,rv,155,0.30632411067193677
138,abstention,why,125,0.24703557312252963
138,voter,rv,494,1
139,abstention,diego,226,0.44664031620553357
139,abstention,rv,139,0.274703557312253
139,abstention,why,141,0.27865612648221344
139,voter,rv,494,1
140,abstention,diego,226,0.44664031620553357
140,abstention,rv,127,0.2509881422924901
140,abstention,why,153,0.30237154150197626
140,voter,rv,494,1
141,abstention,diego,242,0.4782608695652174
141,abstention,rv,133,0.2628458498023715
141,abstention,why,131,0.25889328063241107
141,voter,rv,494,1
142,abstention,diego,222,0.43873517786561267
142,abstention,rv,159,0.3142292490118577
142,abstention,why,125,0.24703557312252963
142,voter,rv,494,1
143,abstention,diego,233,0.46047430830039526
143,abstention,rv,149,0.29446640316205536
143,abstention,why,124,0.2450592885375494
143,voter,rv,494,1
144,abstention,diego,242,0.4782608695652174
144,abstention,rv,137,0.2707509881422925
144,abstention,why,127,0.2509881422924901
144,voter,rv,494,1
145,abstention,diego,204,0.4031620553359684
145,abstention,rv,151,0.2984189723320158
145,abstention,why,151,0.2984189723320158
145,voter,rv,494,1
146,abstention,diego,225,0.44466403162055335
146,abstention,rv,140,0.2766798418972332
146,abstention,why,141,0.27865612648221344
146,voter,rv,494,1
147,abstention,diego,254,0.5019762845849802
147,abstention,rv,132,0.2608695652173913
147,abstention,why,120,0.23715415019762845
147,voter,rv,494,1
148,abstention,diego,235,0.4644268774703557
148,abstention,rv,121,0.2391304347826087
148,abstention,why,150,0.2964426877470356
148,voter,rv,494,1
149,abstention,diego,243,0.48023715415019763
149,abstention,rv,139,0.274703557312253
149,abstention,why,124,0.2450592885375494
149,voter,rv,494,1
150,abstention,diego,242,0.4782608695652174
150,abstention,rv,147,0.29051383399209485
150,abstention,why,117,0.23122529644268774
150,voter,rv,494,1
151,abstention,diego,244,0.48221343873517786
151,abstention,rv,135,0.26679841897233203
151,abstention,why,127,0.2509881422924901
