analysis_sample,matrix,h,p,comparison,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
COMPLETE,RAW,2,8,KM_vs_EFA_OVERLAP,KM2,EFA3,88.88888888888889,9,11,8,88.88888888888889,72.72727272727273,66.66666666666667,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,8,KM_vs_EFA_OVERLAP,KM3,EFA4,33.333333333333336,15,8,5,33.333333333333336,62.5,27.77777777777778,det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,RAW,2,8,KM_vs_EFA_OVERLAP,KM4,EFA7,88.88888888888889,9,13,8,88.88888888888889,61.53846153846154,57.142857142857146,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_19_wellbeing
COMPLETE,RAW,2,8,KM_vs_EFA_OVERLAP,KM5,EFA1,58.333333333333336,12,8,7,58.333333333333336,87.5,53.84615384615385,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,8,KM_vs_EFA_OVERLAP,KM6,EFA8,36.36363636363637,11,9,4,36.36363636363637,44.44444444444444,25,det_08_trust; det_11_knowledge; det_16_commitment; det_17_adherence
COMPLETE,RAW,2,8,KM_vs_EFA_OVERLAP,KM7,EFA5,76.92307692307692,13,14,10,76.92307692307692,71.42857142857143,58.8235294117647,det_01_profits; det_11_knowledge; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,8,KM_vs_EFA_OVERLAP,KM8,EFA2,40,15,8,6,40,75,35.294117647058826,det_01_profits; det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit
COMPLETE,RAW,2,8,KM_vs_EFA_JACCARD,KM1,EFA2,14.285714285714286,8,8,2,25,25,14.285714285714286,det_10_cost_efficiency; det_13_technical_fit
COMPLETE,RAW,2,8,KM_vs_EFA_JACCARD,KM2,EFA1,70,9,8,7,77.77777777777777,87.5,70,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,8,KM_vs_EFA_JACCARD,KM3,EFA4,27.77777777777778,15,8,5,33.333333333333336,62.5,27.77777777777778,det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,RAW,2,8,KM_vs_EFA_JACCARD,KM4,EFA6,53.84615384615385,9,11,7,77.77777777777777,63.63636363636363,53.84615384615385,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence
COMPLETE,RAW,2,8,KM_vs_EFA_JACCARD,KM5,EFA3,53.333333333333336,12,11,8,66.66666666666667,72.72727272727273,53.333333333333336,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,8,KM_vs_EFA_JACCARD,KM6,EFA8,25,11,9,4,36.36363636363637,44.44444444444444,25,det_08_trust; det_11_knowledge; det_16_commitment; det_17_adherence
COMPLETE,RAW,2,8,KM_vs_EFA_JACCARD,KM7,EFA5,58.8235294117647,13,14,10,76.92307692307692,71.42857142857143,58.8235294117647,det_01_profits; det_11_knowledge; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,8,KM_vs_EFA_JACCARD,KM8,EFA7,64.70588235294117,15,13,11,73.33333333333333,84.61538461538461,64.70588235294117,det_01_profits; det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_19_wellbeing; det_20_coziness
COMPLETE,RAW,2,8,KM_vs_EXPERTS,KM1,Stubborn,37.5,8,3,3,37.5,100,37.5,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
COMPLETE,RAW,2,8,KM_vs_EXPERTS,KM2,Influencer,55.55555555555556,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
